Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.02     0.02    10935     0.00     0.00  HelloTriangleApplication::drawFrame()
  0.00      0.02     0.00   677970     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0>::length() const
  0.00      0.02     0.00   437400     0.00     0.00  glm::detail::tvec4<float, (glm::precision)0>::operator=(glm::detail::tvec4<float, (glm::precision)0> const&)
  0.00      0.02     0.00   437400     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0>::operator[](int)
  0.00      0.02     0.00   426465     0.00     0.00  glm::detail::tvec4<float, (glm::precision)0>::tvec4(float const&, float const&, float const&, float const&)
  0.00      0.02     0.00   393660     0.00     0.00  glm::detail::tvec4<float, (glm::precision)0>::operator[](int)
  0.00      0.02     0.00   393660     0.00     0.00  glm::detail::tvec4<float, (glm::precision)0>::length() const
  0.00      0.02     0.00   349920     0.00     0.00  glm::detail::tvec4<float, (glm::precision)0>::tvec4()
  0.00      0.02     0.00   262444     0.00     0.00  glm::detail::tvec3<float, (glm::precision)0>::length() const
  0.00      0.02     0.00   262440     0.00     0.00  glm::detail::tvec3<float, (glm::precision)0>::operator[](int)
  0.00      0.02     0.00   240570     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0>::operator[](int) const
  0.00      0.02     0.00   153090     0.00     0.00  glm::detail::tvec3<float, (glm::precision)0>::tvec3(float const&, float const&, float const&)
  0.00      0.02     0.00    98415     0.00     0.00  glm::detail::tvec4<float, (glm::precision)0> glm::detail::operator*<float, (glm::precision)0>(glm::detail::tvec4<float, (glm::precision)0> const&, float const&)
  0.00      0.02     0.00    65610     0.00     0.00  glm::detail::tvec4<float, (glm::precision)0> glm::detail::operator+<float, (glm::precision)0>(glm::detail::tvec4<float, (glm::precision)0> const&, glm::detail::tvec4<float, (glm::precision)0> const&)
  0.00      0.02     0.00    54761     0.00     0.00  VDeleter<VkDevice_T*>::operator VkDevice_T*() const
  0.00      0.02     0.00    43740     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0>::tmat4x4()
  0.00      0.02     0.00    32805     0.00     0.00  glm::inversesqrt(float const&)
  0.00      0.02     0.00    32805     0.00     0.00  float glm::dot<float, (glm::precision)0, glm::detail::tvec3>(glm::detail::tvec3<float, (glm::precision)0> const&, glm::detail::tvec3<float, (glm::precision)0> const&)
  0.00      0.02     0.00    32805     0.00     0.00  float glm::sqrt<float>(float const&)
  0.00      0.02     0.00    32805     0.00     0.00  glm::detail::compute_dot<glm::detail::tvec3, float, (glm::precision)0>::call(glm::detail::tvec3<float, (glm::precision)0> const&, glm::detail::tvec3<float, (glm::precision)0> const&)
  0.00      0.02     0.00    32805     0.00     0.00  glm::detail::tmat4x4<float, (glm::precision)0>::operator=(glm::detail::tmat4x4<float, (glm::precision)0> const&)
  0.00      0.02     0.00    32805     0.00     0.00  glm::detail::tvec3<float, (glm::precision)0> glm::detail::operator*<float, (glm::precision)0>(glm::detail::tvec3<float, (glm::precision)0> const&, float const&)
  0.00      0.02     0.00    32805     0.00     0.00  glm::detail::tvec3<float, (glm::precision)0> glm::detail::operator*<float, (glm::precision)0>(glm::detail::tvec3<float, (glm::precision)0> const&, glm::detail::tvec3<float, (glm::precision)0> const&)
